,image_number,image_path,negative_threshold,positive_threshold
180,201,data\images\201.png,0.8810860425716046,1.2703904235988035
111,126,data\images\img126.jpg,0.8607218184940336,1.1825000033029542
139,157,data\images\img157.jpg,0.895125771891698,1.1433595358140871
184,206,data\images\206.png,0.7992814860904667,1.0574760203463571
126,144,data\images\img144.jpg,0.8065646398751528,1.108528158163283
131,149,data\images\img149.jpg,0.8295399743745381,1.1042292389988315
190,214,data\images\214.png,0.9300513812416344,1.0389495829613329
25,27,data\images\img27.jpg,0.9169575797983364,1.2059426242087286
225,250,data\images\250.png,0.8876329060696353,1.1698328032132794
55,64,data\images\img64.jpg,0.8414286416307879,1.1589272109391016
11,13,data\images\img13.jpg,0.7218824638742009,1.1457098315194048
104,119,data\images\img119.jpg,0.8010711110254324,1.19213872748564
176,197,data\images\197.png,0.8521400310835381,1.249841910399626
47,54,data\images\img54.jpg,0.8421796964126531,1.1139295998835304
197,221,data\images\221.png,0.9364542091800075,1.0940609738488103
290,318,data\images\318.png,0.8624387885923185,1.2299518154731153
8,10,data\images\img10.jpg,0.9226037361472268,1.1074527805272345
77,87,data\images\img87.jpg,0.8253994093857739,1.2474986993255854
167,188,data\images\188.png,0.8973502201457454,1.1421794128190756
80,91,data\images\img91.jpg,0.8747775812108693,1.2952791995686517
22,24,data\images\img24.jpg,0.8621772566809559,1.1303928918749166
258,285,data\images\285.png,0.9397651659700236,1.1054635122591117
254,281,data\images\281.png,0.7551802695489015,1.1859117400998505
0,1,data\images\img1.jpg,0.8429495421526707,1.155688765627492
85,97,data\images\img97.jpg,0.9314671966561467,1.0681897444136066
144,162,data\images\img162.jpg,0.7171083169379109,1.1879269301397757
46,53,data\images\img53.jpg,0.7342155712954516,1.158017067423052
285,313,data\images\313.png,0.7657532421101244,1.6301918782029516
38,42,data\images\img42.jpg,0.8832060881304576,1.087650342884782
41,46,data\images\img46.jpg,0.8857764159305453,1.2132752773431421
206,231,data\images\231.png,0.7492999489918954,1.2943347859395635
284,312,data\images\312.png,0.8421796964126531,1.0696798954633326
293,322,data\images\322.png,0.8138243596050636,1.4385140911812229
298,329,data\images\329.png,0.7639274118336846,1.4467460600773434
181,202,data\images\202.png,0.7556173359443459,1.1102875055293275
118,134,data\images\img134.jpg,0.9323774768813208,1.1666858715874224
13,15,data\images\img15.jpg,0.8691578303124641,1.2669583163390423
194,218,data\images\218.png,0.8834775538904878,1.161147686199481
2,3,data\images\img3.jpg,0.8421796964126531,1.0649801967044
204,229,data\images\229.png,0.8575172072177841,1.0684241928151543
115,131,data\images\img131.jpg,0.907819970486115,1.1154507416085062
262,289,data\images\289.png,0.7627133056074269,1.1558782839849608
289,317,data\images\317.png,0.8222370479115397,1.2463556390230306
222,247,data\images\247.png,0.8421796964126531,1.224411867600676
33,35,data\images\img35.jpg,0.9037365769554488,1.1154929611646398
179,200,data\images\200.png,0.9011940958330664,1.0653026131192036
116,132,data\images\img132.jpg,0.7828025684267496,1.2476873966809128
